IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.147.166.189,2096,2096,true,NRT,Asia Pacific,Tokyo,137,11.54
141.147.167.44,8080,8080,false,NRT,Asia Pacific,Tokyo,78,11.53
141.147.169.195,80,80,false,NRT,Asia Pacific,Tokyo,78,11.53
140.238.32.238,2096,2096,true,NRT,Asia Pacific,Tokyo,75,11.52
150.230.105.179,2096,2096,true,NRT,Asia Pacific,Tokyo,91,11.51
138.2.10.88,8443,443,true,NRT,Asia Pacific,Tokyo,105,11.51
150.230.104.197,2086,2086,false,NRT,Asia Pacific,Tokyo,75,11.50
141.147.175.230,2095,2095,false,NRT,Asia Pacific,Tokyo,81,11.48
151.145.71.40,2052,2052,false,NRT,Asia Pacific,Tokyo,84,11.47
138.2.14.164,8443,8443,true,NRT,Asia Pacific,Tokyo,80,11.46
150.230.109.252,80,80,false,NRT,Asia Pacific,Tokyo,84,11.45
138.2.21.31,8880,8880,false,NRT,Asia Pacific,Tokyo,76,11.45
138.2.8.232,80,80,false,NRT,Asia Pacific,Tokyo,87,11.45
158.179.188.175,8080,8080,false,NRT,Asia Pacific,Tokyo,78,11.45
138.2.6.15,80,80,false,NRT,Asia Pacific,Tokyo,78,11.44
141.147.119.168,443,443,true,FRA,Europe,Frankfurt,163,11.43
150.230.219.168,2053,2053,true,NRT,Asia Pacific,Tokyo,93,11.43
138.3.212.226,2086,2086,false,NRT,Asia Pacific,Tokyo,81,11.42
158.179.186.234,8443,8443,true,NRT,Asia Pacific,Tokyo,132,11.41
158.178.246.169,2052,2052,false,SIN,Asia Pacific,Singapore,32,11.41
140.238.32.184,8443,8443,true,NRT,Asia Pacific,Tokyo,75,11.40
141.147.97.28,443,443,true,FRA,Europe,Frankfurt,238,11.40
151.145.71.40,8880,8880,false,NRT,Asia Pacific,Tokyo,87,11.40
141.147.178.135,2086,2086,false,NRT,Asia Pacific,Tokyo,75,11.39
138.2.15.8,8880,8880,false,NRT,Asia Pacific,Tokyo,81,11.38
138.2.29.250,8080,8080,false,NRT,Asia Pacific,Tokyo,77,11.37
150.230.99.173,2095,2095,false,NRT,Asia Pacific,Tokyo,90,11.37
132.226.214.191,443,443,true,FRA,Europe,Frankfurt,169,11.37
138.3.211.101,2087,2087,true,NRT,Asia Pacific,Tokyo,83,11.36
